Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
ci.boca-raton.fl.us,,,,Local,,Florida,City of Boca Raton -- Note added 6/16/15 14:16,http://ci.boca-raton.fl.us/pages/,6/6/13 18:08
ci.boerne.tx.us,,,,Local,,Texas,"City of Boerne, TX -- Note added 3/20/14 17:59",http://ci.boerne.tx.us/,6/6/13 18:08
ci.bonney-lake.wa.us,,,,Local,,Washington,"City of Bonney Lake, WA -- Note added 9/12/14 5:39",http://ci.bonney-lake.wa.us/,6/6/13 18:08
ci.bothell.wa.us,,,,Local,,Washington,"City of Bothell, WA -- Note added 3/20/14 18:08",http://ci.bothell.wa.us/,6/6/13 18:08
ci.brea.ca.us,,,,Local,,California,City of Brea website -- Note added 3/10/15 21:48,http://www.ci.brea.ca.us/,6/6/13 18:08
ci.bremerton.wa.us,,,,Local,,Washington,"City of Bremerton, WA -- Note added 4/7/14 17:47",http://www.ci.bremerton.wa.us/,6/6/13 18:08
ci.brentwood.ca.us,,,,Local,,California,City of Brentwood website -- Note added 3/10/15 21:56,http://ci.brentwood.ca.us/,6/6/13 18:08
ci.brier.wa.us,,,,Local,,Washington,"City of Brier, WA -- Note added 9/12/14 5:40",http://ci.brier.wa.us/,6/6/13 18:08
ci.brillion.wi.us,,,,Local,,Wisconsin,"City of Brillion, WI -- Note added 7/25/14 5:32",http://ci.brillion.wi.us/,6/6/13 18:08
ci.brisbane.ca.us,,,,Local,,California,City of Brisbane website -- Note added 3/10/15 22:02,http://ci.brisbane.ca.us/,6/6/13 18:08
ci.bristol.ct.us,,,,Local,,Connecticut,"City of Bristol, CT -- Note added 3/24/14 13:10",http://www.ci.bristol.ct.us/,6/6/13 18:08
ci.brookfield.wi.us,,,,Local,,Wisconsin,"City of Brookfield, WI -- Note added 4/2/14 12:23",http://www.ci.brookfield.wi.us/,6/6/13 18:08
ci.brooklyn-center.mn.us,,,,Local,,Minnesota,"City of Brooklyn Center, MN -- Note added 4/19/15 22:22",http://www.ci.brooklyn-center.mn.us/,6/6/13 18:09
ci.broomfield.co.us,,,,Local,,Colorado,"City and County of Broomfield, CO -- Note added 1/14/14 16:41",http://ci.broomfield.co.us/,6/6/13 18:08
ci.brownfield.tx.us,,,,Local,,Texas,"City of Brownfield, TX -- Note added 3/10/15 7:00",http://ci.brownfield.tx.us/,6/6/13 18:08
ci.brownsville.or.us,,,,Local,,Oregon,"City of Brownsville, OR -- Note added 6/13/14 6:25",http://ci.brownsville.or.us/,6/6/13 18:08
ci.brownwood.tx.us,,,,Local,,Texas,"City of Brownwood, TX -- Note added 3/10/15 7:00",http://ci.brownwood.tx.us/,6/6/13 18:08
ci.buda.tx.us,,,,Local,,Texas,"City of Buda, TX -- Note added 3/10/15 7:02",http://ci.buda.tx.us/,6/6/13 18:09
ci.buffalo.ny.us,,,,Local,,New York,"City of Buffalo, NY -- Note added 6/17/15 17:16",http://ci.buffalo.ny.us/,6/6/13 18:08
ci.bulverde.tx.us,,,,Local,,Texas,"City of Bulverde, TX -- Note added 1/15/14 12:13",http://www.ci.bulverde.tx.us/,6/6/13 18:08
ci.burlington.nc.us,,,,Local,,North Carolina,"burlington, nc -- Note added 9/11/15 19:10",http://ci.burlington.nc.us/,6/6/13 18:08
ci.burlington.wa.us,,,,Local,,Washington,"City of Burlington, WA -- Note added 4/7/14 17:59",http://ci.burlington.wa.us/,6/6/13 18:08
ci.camarillo.ca.us,,,,Local,,California,"City of Caramillo, CA -- Note added 1/13/14 19:10",http://ci.camarillo.ca.us/,6/6/13 18:08
ci.camas.wa.us,,,,Local,,Washington,"City of Camas, WA -- Note added 1/15/14 12:14",http://ci.camas.wa.us/,6/6/13 18:08
ci.cambridge.md.us,,,,Local,,Maryland,"City of Cambridge, MD -- Note added 5/27/14 1:40",http://www.ci.cambridge.md.us/,6/6/13 18:08
ci.cambridge.wi.us,,,,Local,,Wisconsin,"Village of Cambridge, WI -- Note added 7/25/14 5:33",http://www.ci.cambridge.wi.us/,6/6/13 18:08
ci.camden.nj.us,,,,Local,,New Jersey,"camden, NJ -- Note added 9/15/15 19:17",http://www.ci.camden.nj.us/,6/6/13 18:08
ci.campbell.ca.us,,,,Local,,California,City of Campbell -- Note added 3/10/15 22:13,http://ca-campbell.civicplus.com/,6/6/13 18:08
ci.cannon-beach.or.us,,,,Local,,Oregon,"City of Cannon Beach, OR -- Note added 6/13/14 6:28",http://ci.cannon-beach.or.us/,6/6/13 18:08
ci.carlton.or.us,,,,Local,,Oregon,"City of Carlton, OR -- Note added 6/20/14 9:33",http://www.ci.carlton.or.us/,6/6/13 18:08
ci.carmel.ca.us,,,,Local,,California,"City of Carmel, CA -- Note added 11/22/13 15:26",http://ci.carmel.ca.us/,6/6/13 18:08
