Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
uaex.edu,,,,State,,Arkansas,"University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11",http://uaex.edu/,6/6/13 18:09
uaf.edu/ces/,,,,State,,Alaska,University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34,http://uaf.edu/ces/,6/7/13 16:34
uidaho.edu/extension,,,,State,,Idaho,University of Idaho Extension -- Note added 7/8/13 14:29,http://www.uidaho.edu/extension,6/6/13 18:08
usafa.edu,Department of the Air Force,,Website - open to public,Federal,,,United States Air Force Academy -- Note added 1/23/14 15:35,#N/A,1/23/14 15:34
uscga.edu,U.S. Coast Guard,,,Federal,,,United States Coast Guard Academy -- Note added 11/10/15 16:29,http://uscga.edu/,11/10/15 16:29
usda.mannlib.cornell.edu,Department of Agriculture (USDA),,,Federal,,,"USDA Economics, Statistics and Market Information System (ESMIS)¬†is a collaborative project between Albert R. Mann Library at Cornell University and several agencies of the U.S. Department of Agriculture -- Note added 6/12/13 18:43",#N/A,6/6/13 18:09
usma.edu,Department of the Army,,Redirect,Federal,,,Redirects to https://www.westpoint.edu/. -DPm 11/17/22. United States Military Academy (Army) - West Point -- Note added 1/23/14 15:25,http://www.usma.edu/SitePages/Home.aspx,1/23/14 15:25
usmcu.edu,Marine Corps University,,Website - open to public,Federal,,,Requires www. Marine Corps University. -DPM 11/17/22. Library of the Marine Corps -- Note added 4/3/14 19:18,http://guides.grc.usmcu.edu/,4/3/14 19:17
usmma.edu,United States Merchant Marine Academy,,Website - open to public,Federal,,,"Requires www. -DPM 11/17/22. United States Merchant Marine Academy, U.S. Department of Transportation -- Note added 3/24/14 16:22",http://www.usmma.edu/,1/23/14 15:31
usna.edu,United States Naval Academy,,Website - open to public,Federal,,,United States Naval Academy (Navy and Marine Corps) - Annapolis -- Note added 1/23/14 15:29,http://www.usna.edu/homepage.php,1/23/14 15:27
usu.edu/beetle,U.S. Forest Service (USFS),,Website - open to public,Federal,,,"Bark Beetle Research, Forest Service, US Department of Agriculture -- Note added 6/26/13 17:04",#N/A,6/6/13 18:09
usuhs.edu,Uniformed Services University of the Health Services,,Website - open to public,Federal,,,Uniformed Services University of the Health Sciences -- Note added 1/27/14 11:55,http://www.usuhs.edu/,1/27/14 11:55
uvm.edu/extension,,,,State,,Vermont,University of Vermont Extension -- Note added 8/18/14 5:33,http://www.uvm.edu/extension/,6/6/13 18:09
uwex.edu,,,,State,,Wisconsin,University of Wisconsin-Extension -- Note added 8/12/14 5:36,http://www.uwex.edu/,6/6/13 18:09
uwyo.edu/CES,,,,State,,Wyoming,University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39,http://www.uwyo.edu/ces/,6/6/13 18:09
web.uri.edu/riaes/extension,,,,State,,Rhode Island,University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31,http://web.uri.edu/riaes/extension/,6/6/13 18:08
westpoint.edu,Department of the Army,,Website - open to public,Federal,,,United States Military Academy (Army) - West Point -- Note added 1/23/14 15:26,http://www.westpoint.edu/SitePages/Home.aspx,1/23/14 15:26
wvnet.edu,,,,State,,West Virginia,West Virginia Network for Educational Telecomputing -- Note added 7/24/14 5:54,http://wvnet.edu/,6/6/13 18:09
si.edu,Smithsonian Institution,,,Federal,Executive,,,,
